37188=Новый Афон, Абхазия
12465=Лодзь, Польша
12330=Познань, Польша
12560=Катовице, Польша
12625=Закопане, Польша
12146=Сопот, Польша
12661=Крыница, Польша
12150=Гданьск, Польша
12375=Варшава, Польша
12360=Плоцк, Польша
8545=Порту, Португалия
8547=Брага, Португалия
8548=Коимбра, Португалия
8553=Алгарви, Португалия
8554=Фару, Португалия
8558=Эвора, Португалия
8532=Синтра, Португалия
8521=Фуншал (Мадейра), Португалия
8536=Лиссабон, Португалия
8575=Браганса, Португалия
91557=Порт-Вила, Республика Вануату
64450=Браззавиль, Республика Конго
61984=Сен-Пьер, Реюньон
61980=Сен-Дени, Реюньон
28219=Нытва, Россия
28674=Петухово, Россия
26283=Окуловка, Россия
31847=Уссурийск, Россия
34824=Приморско-Ахтарск, Россия
30729=Кабанск, Россия
30731=Горячинск, Россия
30732=Гремячинск, Россия
28688=Исилькуль, Россия
34834=Павловская, Россия
22550=Архангельск, Россия
22551=Беломорск, Россия
28696=Калачинск, Россия
22553=Костомукша, Россия
28698=Омск, Россия
34845=Городовиковск, Россия
34846=Яшалта, Россия
22559=Холмогоры, Россия
28706=Нурлат, Россия
28707=Альметьевск, Россия
32053=Ноглики, Россия
30758=Чита, Россия
28711=Бугульма, Россия
28712=Туймазы, Россия
28714=Лениногорск, Россия
34861=Элиста, Россия
28718=Белебей, Россия
28720=Давлеканово, Россия
26673=Демидов, Россия
28722=Уфа, Россия
34825=Станица Каневская, Россия
34316=Шебекино, Россия
28729=Аджигардак, Россия
28731=Абзаково, Россия
28732=Межгорье, Россия
28733=Трехгорный, Россия
26686=Сафоново, Россия
28735=Бакал, Россия
34880=Астрахань, Россия
24641=Вилюйск, Россия
34886=Нариманов, Россия
26695=Вязьма, Россия
28744=Пласт, Россия
28745=Южноуральск, Россия
26700=Светлогорск, Россия
26701=Балтийск, Россия
26702=Калининград, Россия
26703=Светлый, Россия
26704=Ладушкин, Россия
26705=Багратионовск, Россия
28754=Октябрьское, Россия
30803=Аршан, Россия
26708=Гвардейск, Россия
26709=Полесск, Россия
26710=Гурьевск, Россия
23803=Усть-Кулом, Россия
26712=Озерск, Россия
22884=Сольвычегодск, Россия
26714=Гусев, Россия
26715=Нестеров, Россия
26716=Краснознаменск, Россия
28346=Артемовский, Россия
30818=Байкальск, Россия
30822=Бабушкин, Россия
30823=Улан-Удэ, Россия
23410=Усинск, Россия
34922=Тимашевск, Россия
37223=Майский, Россия
34924=Славянск-на-Кубани, Россия
22546=Северодвинск, Россия
30830=Гусиноозерск, Россия
24688=Оймякон, Россия
34929=Краснодар, Россия
30834=Петровск-Забайкальский, Россия
23804=Сыктывкар, Россия
34934=Новокубанск, Россия
34935=Гулькевичи, Россия
34936=Кропоткин, Россия
34937=Усть-Лабинск, Россия
30844=Хилок, Россия
27555=Павлово, Россия
34944=Новоалександровск, Россия
34945=Изобильный, Россия
28803=Кинель, Россия
34948=Михайловск, Россия
34949=Ставрополь, Россия
28806=Бугуруслан, Россия
28807=Самара, Россия
28808=Отрадный, Россия
37001=Анапа, Россия
37002=Крымск, Россия
30859=Агинское, Россия
37004=Геленджик, Россия
37005=Дагомыс, Россия
34958=Благодарный, Россия
22893=Приморск, Россия
22672=Плесецк, Россия
37009=Джубга, Россия
28818=Абдулино, Россия
37012=Апшеронск, Россия
37013=Белореченск, Россия
37014=Горячий Ключ, Россия
37015=Адыгейск, Россия
28824=Салават, Россия
28825=Стерлитамак, Россия
27215=Красный Холм, Россия
37019=Лазаревское, Россия
28828=Зирган, Россия
28829=Ишимбай, Россия
28830=Банное, Россия
26783=Ельня, Россия
37024=Курганинск, Россия
26785=Десногорск, Россия
37026=Лабинск, Россия
37028=Псебай, Россия
37029=Мостовской, Россия
28838=Магнитогорск, Россия
37031=Армавир, Россия
34984=Лагань, Россия
26795=Спас-Деменск, Россия
26796=Киров, Россия
26994=Стародуб, Россия
22706=Лахденпохья, Россия
26995=Севск, Россия
22709=Питкяранта, Россия
37046=Усть-Джегута, Россия
37047=Черкесск, Россия
37049=Лермонтов, Россия
37050=Пятигорск, Россия
37052=Железноводск, Россия
37053=Ессентуки, Россия
37054=Минеральные Воды, Россия
37237=Урус-Мартан, Россия
37056=Зеленокумск, Россия
22721=Медвежьегорск, Россия
20674=Диксон, Россия
35011=Сорочинск, Россия
22724=Асбест, Россия
37061=Буденновск, Россия
22727=Кондопога, Россия
29467=Ачинск, Россия
27353=Фурманов, Россия
30925=Кяхта, Россия
37071=Нефтекумск, Россия
22737=Кижи, Россия
31445=Свободный, Россия
22563=Пинега, Россия
24790=Сусуман, Россия
35035=Новотроицк, Россия
35036=Гай, Россия
32122=Томари, Россия
34646=Цимлянск, Россия
35041=Бреды, Россия
23944=Пыть-Ях, Россия
22755=Мирный, Россия
28902=Нефтегорск, Россия
28903=Чапаевск, Россия
28904=Новокуйбышевск, Россия
34172=Саратов, Россия
22762=Двинской Березник, Россия
37099=Сочи, Россия
28909=Бузулук, Россия
23933=Ханты-Мансийск, Россия
22768=Шенкурск, Россия
24817=Ербогачен, Россия
37107=Красная Поляна, Россия
30965=Борзя, Россия
37111=Архыз, Россия
30968=Забайкальск, Россия
37020=Хоста, Россия
37116=Карачаевск, Россия
28925=Мелеуз, Россия
28927=Кумертау, Россия
30977=Краснокаменск, Россия
26882=Рославль, Россия
37123=Кисловодск, Россия
22913=Лодейное поле, Россия
28938=Баймак, Россия
28941=Карталы, Россия
26894=Жуковка, Россия
26895=Людиново, Россия
26896=Жиздра, Россия
26897=Сельцо, Россия
26898=Брянск, Россия
37018=Туапсе, Россия
26900=Дятьково, Россия
22805=Валаам, Россия
22806=Лесогорский, Россия
22807=Светогорск, Россия
24856=Покровск, Россия
37145=Моздок, Россия
37146=Магас, Россия
29743=Гурьевск, Россия
31004=Алдан, Россия
31005=Томмот, Россия
29744=Ленинск-Кузнецкий, Россия
22820=Петрозаводск, Россия
27697=Тетюши, Россия
37163=Кизляр, Россия
22829=Вознесенье, Россия
22831=Пудож, Россия
35120=Соль-Илецк, Россия
35121=Оренбург, Россия
37171=Адлер, Россия
35124=Кувандык, Россия
22837=Вытегра, Россия
22921=Подпорожье, Россия
35129=Медногорск, Россия
24891=Кулу, Россия
22845=Каргополь, Россия
29749=Киселевск, Россия
35138=Орск, Россия
23606=Ухта, Россия
22854=Няндома, Россия
37193=Теберда, Россия
23607=Сосногорск, Россия
37197=Домбай, Россия
28045=Новая Ляля, Россия
22867=Вельск, Россия
37204=Терскол, Россия
37205=Тырныауз, Россия
37206=Кашхатау, Россия
30777=Сретенск, Россия
37210=Новопавловск, Россия
24923=Ленск, Россия
37212=Нальчик, Россия
37213=Баксан, Россия
37214=Нарткала, Россия
32098=Поронайск, Россия
37218=Чикола, Россия
37219=Ардон, Россия
37220=Беслан, Россия
22885=Коряжма, Россия
26982=Сураж, Россия
22887=Котлас, Россия
26984=Клинцы, Россия
37225=Дигора, Россия
37226=Малгобек, Россия
37227=Алагир, Россия
22892=Выборг, Россия
37229=Карабулак, Россия
22894=Высоцк, Россия
22895=Зеленогорск, Россия
26992=Злынка, Россия
26993=Новозыбков, Россия
22898=Каменногорск, Россия
37235=Грозный, Россия
37236=Ачхой-Мартан, Россия
26997=Трубчевск, Россия
37238=Шали, Россия
37239=Аргун, Россия
27001=Боровск, Россия
27002=Обнинск, Россия
26687=Дорогобуж, Россия
37244=Гудермес, Россия
27370=Урень, Россия
22910=Сертолово, Россия
24959=Якутск, Россия
27008=Бабаево, Россия
37249=Кизилюрт, Россия
22914=Сясьстрой, Россия
37251=Назрань, Россия
37252=Каспийск, Россия
22917=Новая Ладога, Россия
28655=Шумиха, Россия
27017=Весьегонск, Россия
27019=Кириллов, Россия
22925=Винницы, Россия
33166=Рыльск, Россия
37248=Хасавюрт, Россия
28255=Туринск, Россия
22939=Белозерск, Россия
34732=Новочеркасск, Россия
27037=Вологда, Россия
27038=Сокол, Россия
27039=Кадников, Россия
27040=Харовск, Россия
27041=Грязовец, Россия
20891=Хатанга, Россия
28742=Чебаркуль, Россия
34545=Морозовск, Россия
27049=Солигалич, Россия
28743=Еманжелинск, Россия
32158=Корсаков, Россия
23625=Сосьва, Россия
27066=Никольск, Россия
27722=Ясногорск, Россия
32150=Южно-Сахалинск, Россия
23815=Тулпан, Россия
29122=Каргасок, Россия
26899=Фокино, Россия
22980=Красавино, Россия
22981=Великий Устюг, Россия
22982=Луза, Россия
29127=Нарым, Россия
27724=Протвино, Россия
34551=Суровикино, Россия
27157=Чухлома, Россия
30635=Усть-Баргузин, Россия
34893=Камызяк, Россия
26360=Новоржев, Россия
28067=Междуреченский, Россия
37335=Джейрах, Россия
27097=Мураши, Россия
25051=Певек, Россия
30117=Усть-Илимск, Россия
27106=Устюжна, Россия
27109=Пестово, Россия
27729=Михайлов, Россия
30499=Тында, Россия
29954=Таштагол, Россия
23022=Амдерма, Россия
28413=Чайковский, Россия
37361=Ведено, Россия
26707=Правдинск, Россия
28416=Камбарка, Россия
27051=Тотьма, Россия
30806=Кырен, Россия
24321=Удачный, Россия
29194=Кодинск, Россия
26711=Черняховск, Россия
28418=Сарапул, Россия
28419=Янаул, Россия
31253=Бомнак, Россия
30127=Токма, Россия
27164=Кологрив, Россия
30810=Слюдянка, Россия
23074=Дудинка, Россия
28128=Чермоз, Россия
23078=Норильск, Россия
29230=Колпашево, Россия
30813=Листвянка, Россия
27187=Орлов, Россия
29241=Белый Яр, Россия
25147=Билибино, Россия
27402=Тверь, Россия
27198=Кирово-Чепецк, Россия
27199=Киров, Россия
32071=Тымовское, Россия
34571=Знаменск, Россия
31300=Зея, Россия
27206=Удомля, Россия
37211=Чегем, Россия
34914=Темрюк, Россия
29263=Енисейск, Россия
29264=Лесосибирск, Россия
27217=Бежецк, Россия
27220=Мышкин, Россия
25173=Мыс Шмидта, Россия
27223=Пошехонье, Россия
27225=Рыбинск, Россия
37469=Дагестанские Огни, Россия
37470=Дербент, Россия
37471=Буйнакск, Россия
37472=Махачкала, Россия
37473=Избербаш, Россия
27235=Данилов, Россия
37476=Карабудахкент, Россия
24639=Нюрба, Россия
27242=Буй, Россия
27243=Галич, Россия
27708=Козельск, Россия
25206=Среднеколымск, Россия
31442=Шимановск, Россия
27259=Макарьев, Россия
27260=Нея, Россия
27262=Мантурово, Россия
28437=Первоуральск, Россия
29314=Кедровый, Россия
27414=Дубна, Россия
27271=Шарья, Россия
27385=Яранск, Россия
31369=Николаевск-на-Амуре, Россия
28439=Красноуральск, Россия
23406=Щельяюр, Россия
27277=Ветлуга, Россия
27757=Первомайск, Россия
26392=Кувшиново, Россия
27283=Котельнич, Россия
34926=Кореновск, Россия
27417=Клин, Россия
27914=Новосиль, Россия
27418=Яхрома, Россия
29347=Асино, Россия
23205=Нарьян-Мар, Россия
22641=Онега, Россия
27307=Мокшан, Россия
26056=Сосновый Бор, Россия
27983=Сызрань, Россия
27316=Кашин, Россия
27317=Калязин, Россия
30711=Шелехов, Россия
26055=Сланцы, Россия
27321=Углич, Россия
23226=Воркута, Россия
27323=Касимов, Россия
27329=Ростов, Россия
27330=Гаврилов-Ям, Россия
27331=Ярославль, Россия
27332=Комсомольск, Россия
27333=Кострома, Россия
27425=Переславль-Залесский, Россия
28450=Сухой Лог, Россия
27343=Волгореченск, Россия
27344=Приволжск, Россия
27345=Плёс, Россия
27346=Кинешма, Россия
27347=Иваново, Россия
27348=Ковров, Россия
27349=Вичуга, Россия
27350=Нерехта, Россия
27351=Родники, Россия
27352=Наволоки, Россия
28452=Пышма, Россия
27354=Заволжск, Россия
27355=Юрьевец, Россия
28430=Ревда, Россия
27439=Электроугли, Россия
23552=Тарко Сале, Россия
27712=Чекалин, Россия
23274=Игарка, Россия
29479=Сосновоборск, Россия
27373=Шахунья, Россия
27229=Тутаев, Россия
26479=Торопец, Россия
29430=Томск, Россия
31702=Облучье, Россия
34866=Яшкуль, Россия
28116=Кудымкар, Россия
29440=Северск, Россия
27393=Нолинск, Россия
28736=Учалы, Россия
27401=Торжок, Россия
26983=Мглин, Россия
34263=Жирновск, Россия
27405=Алексин, Россия
23341=Яр-Сале, Россия
27412=Кимры, Россия
31510=Благовещенск, Россия
27415=Конаково, Россия
27416=Дедовск, Россия
31513=Белогорск, Россия
35147=Ясный, Россия
27419=Дмитров, Россия
27420=Талдом, Россия
27421=Лотошино, Россия
27422=Шаховская, Россия
23327=Инта, Россия
23329=Лабытнанги, Россия
23330=Салехард, Россия
26075=Кировск, Россия
27428=Александров, Россия
32215=Северо-Курильск, Россия
31527=Завитинск, Россия
29480=Зеленогорск, Россия
27433=Красноармейск, Россия
27434=Черноголовка, Россия
27435=Электрогорск, Россия
27436=Лосино-Петровский, Россия
27437=Юрьев-Польский, Россия
27438=Киржач, Россия
26077=Тосно, Россия
27440=Ликино-Дулево, Россия
27441=Шуя, Россия
27442=Камешково, Россия
27443=Гаврилов Посад, Россия
27444=Тейково, Россия
27445=Кохма, Россия
27446=Кольчугино, Россия
28809=Похвистнево, Россия
27448=Пучеж, Россия
27449=Южа, Россия
27450=Заволжье, Россия
27451=Чкаловск, Россия
27452=Балахна, Россия
27453=Городец, Россия
23358=Новый Уренгой, Россия
27457=Дзержинск, Россия
37003=Абинск, Россия
27460=Бор, Россия
27462=Семенов, Россия
31559=Амурск, Россия
37058=Георгиевск, Россия
31561=Комсомольск-на-Амуре, Россия
25399=Уэлен, Россия
26082=Отрадное, Россия
29521=Тайга, Россия
32227=Палана, Россия
37006=Новороссийск, Россия
26079=Чудово, Россия
23383=Агата, Россия
27579=Ядрин, Россия
27485=Йошкар-Ола, Россия
29536=Юрга, Россия
29539=Болотное, Россия
29542=Березовский, Россия
29543=Анжеро-Судженск, Россия
31592=Райчихинск, Россия
23356=Ноябрьск, Россия
37351=Шатой, Россия
27500=Краснознаменск, Россия
30866=Балей, Россия
27502=Волоколамск, Россия
27503=Видное, Россия
27504=Люберцы, Россия
29553=Боготол, Россия
27506=Середниково, Россия
27507=Гагарин, Россия
27508=Звенигород, Россия
27509=Можайск, Россия
27510=Королев, Россия
27511=Истра, Россия
27512=Химки, Россия
27513=Красногорск, Россия
23418=Печора, Россия
29625=Чулым, Россия
27517=Одинцово, Россия
27520=Руза, Россия
27521=Апрелевка, Россия
29570=Красноярск, Россия
27523=Павловский Посад, Россия
27524=Внуково, Россия
29573=Дивногорск, Россия
27526=Петушки, Россия
29575=Железногорск, Россия
29576=Уяр, Россия
29577=Бородино, Россия
27530=Воскресенск, Россия
29579=Заозерный, Россия
27532=Владимир, Россия
29581=Канск, Россия
27535=Покров, Россия
27536=Лыткарино, Россия
27537=Куровское, Россия
29586=Иланский, Россия
27539=Гусь-Хрустальный, Россия
29588=Бирюсинск, Россия
29589=Алзамай, Россия
27542=Навашино, Россия
27543=Вязники, Россия
27544=Лакинск, Россия
27545=Радужный, Россия
27546=Гороховец, Россия
27549=Муром, Россия
27550=Володарск, Россия
27551=Горбатов, Россия
27552=Саров, Россия
26096=Бокситогорск, Россия
29851=Осинники, Россия
27556=Ворсма, Россия
27557=Богородск, Россия
26097=Пикалево, Россия
23465=Красноселькуп, Россия
27562=Кстово, Россия
29611=Куйбышев, Россия
29612=Барабинск, Россия
27514=Шереметьево, Россия
37021=Майкоп, Россия
23472=Туруханск, Россия
27707=Сухиничи, Россия
22686=Вендинга, Россия
29624=Каргат, Россия
27577=Сергач, Россия
28831=Белорецк, Россия
27580=Шумерля, Россия
27581=Чебоксары, Россия
27582=Новочебоксарск, Россия
27583=Мариинский Посад, Россия
26784=Починок, Россия
25538=Верхнее Пенжино, Россия
27587=Канаш, Россия
29636=Тогучин, Россия
27589=Звенигово, Россия
27590=Козловка, Россия
28833=Верхнеуральск, Россия
27592=Волжск, Россия
29641=Топки, Россия
29642=Кемерово, Россия
27595=Казань, Россия
27597=Бавлы, Россия
27600=Зарайск, Россия
27601=Бронницы, Россия
27602=Зеленоград, Россия
27603=Солнечногорск, Россия
27604=Ермолино, Россия
29653=Ужур, Россия
27606=Малоярославец, Россия
27607=Балашиха, Россия
27608=Пушкино, Россия
27609=Балабаново, Россия
27610=Верея, Россия
25563=Анадырь, Россия
27612=Москва, Россия
27613=Домодедово, Россия
29861=Саяногорск, Россия
27616=Сергиев Посад, Россия
31713=Биробиджан, Россия
27618=Серпухов, Россия
27620=Луховицы, Россия
27621=Озеры, Россия
27622=Серебряные Пруды, Россия
27623=Егорьевск, Россия
27624=Ступино, Россия
27625=Коломна, Россия
27626=Жуковский, Россия
27627=Кашира, Россия
27628=Голицыно, Россия
27629=Троицк, Россия
27630=Подольск, Россия
27631=Климовск, Россия
27636=Спас-Клепики, Россия
27637=Меленки, Россия
27639=Курлово, Россия
27643=Выкса, Россия
27644=Кулебаки, Россия
29866=Минусинск, Россия
23551=Губкинский, Россия
27648=Елатьма, Россия
29698=Нижнеудинск, Россия
31922=Спасск-Дальний, Россия
27653=Арзамас, Россия
27654=Шатки, Россия
37036=Невинномысск, Россия
29706=Купино, Россия
27479=Козьмодемьянск, Россия
27664=Перевоз, Россия
27665=Лукоянов, Россия
22019=Полярный, Россия
22552=Новодвинск, Россия
27679=Алатырь, Россия
29729=Бердск, Россия
29730=Искитим, Россия
29731=Черепаново, Россия
23589=Тутончаны, Россия
31786=Вяземский, Россия
27693=Лаишево, Россия
29742=Салаир, Россия
27695=Буинск, Россия
27696=Болгар, Россия
29745=Белово, Россия
29746=Полысаево, Россия
27701=Белоусово, Россия
27702=Жуков, Россия
27703=Калуга, Россия
27704=Мосальск, Россия
27705=Мещовск, Россия
27706=Юхнов, Россия
26463=Новосокольники, Россия
23612=Вуктыл, Россия
27709=Кондрово, Россия
29760=Сорск, Россия
27714=Медынь, Россия
27715=Сосенский, Россия
27716=Кременки, Россия
27717=Суворов, Россия
27718=Новомосковск, Россия
27719=Тула, Россия
27720=Сокольники, Россия
27721=Болохово, Россия
37203=Эльбрус, Россия
27723=Таруса, Россия
29772=Артемовск, Россия
27725=Пущино, Россия
27726=Электросталь, Россия
27728=Рыбное, Россия
23633=Белоярский, Россия
27730=Рязань, Россия
31587=Поярково, Россия
27735=Спасск-Рязанский, Россия
31832=Бикин, Россия
27744=Шацк, Россия
27745=Сасово, Россия
27861=Инсар, Россия
23655=Муравленко, Россия
27752=Темников, Россия
26361=Пыталово, Россия
27756=Краснослободск, Россия
23906=Объячево, Россия
30862=Шилка, Россия
27759=Ковылкино, Россия
27760=Саранск, Россия
27761=Рузаевка, Россия
25716=Меренга, Россия
29814=Карасук, Россия
32090=Смирных, Россия
22621=Сегежа, Россия
29822=Камень-на-Оби, Россия
29823=Сузун, Россия
31873=Дальнереченск, Россия
31875=Лесозаводск, Россия
27781=Ардатов, Россия
27786=Ульяновск, Россия
27787=Новоульяновск, Россия
29836=Заринск, Россия
30914=Закаменск, Россия
29838=Барнаул, Россия
27501=Кубинка, Россия
29841=Новоалтайск, Россия
34273=Красный Кут, Россия
34955=Ипатово, Россия
29845=Прокопьевск, Россия
29846=Новокузнецк, Россия
27799=Димитровград, Россия
23704=Емва, Россия
29850=Калтан, Россия
29551=Мариинск, Россия
23703=Микунь, Россия
29853=Мыски, Россия
29854=Междуреченск, Россия
23711=Троицко-Печорск, Россия
27809=Болхов, Россия
27113=Череповец, Россия
29860=Черногорск, Россия
27813=Липки, Россия
29862=Абакан, Россия
27505=Раменское, Россия
27816=Белев, Россия
27817=Мценск, Россия
27818=Киреевск, Россия
27819=Щекино, Россия
27820=Богородицк, Россия
27821=Узловая, Россия
27822=Венёв, Россия
27824=Лебедянь, Россия
27825=Скопин, Россия
27826=Донской, Россия
27827=Кимовск, Россия
23733=Нягань, Россия
23734=Октябрьское, Россия
36024=Кулунда, Россия
27834=Кораблино, Россия
27835=Ряжск, Россия
28533=Нязепетровск, Россия
31938=Арсеньев, Россия
23748=Когалым, Россия
36037=Горняк, Россия
36038=Змеиногорск, Россия
27848=Моршанск, Россия
36044=Усть Калманка, Россия
26986=Почеп, Россия
23758=Радужный, Россия
34001=Дмитровск, Россия
34002=Железногорск, Россия
25123=Черский, Россия
36052=Горно-Алтайск, Россия
31957=Дальнегорск, Россия
29561=Назарово, Россия
31960=Владивосток, Россия
34009=Курск, Россия
34010=Щигры, Россия
29915=Славгород, Россия
34012=Малоархангельск, Россия
34013=Ливны, Россия
27871=Никольск, Россия
27872=Инза, Россия
27873=Новоспасское, Россия
31970=Находка, Россия
29923=Ребриха, Россия
31974=Артем, Россия
31975=Большой Камень, Россия
36072=Абаза, Россия
30392=Нерюнгри, Россия
34028=Задонск, Россия
36079=Ак-Довурак, Россия
29937=Алейск, Россия
27890=Тольятти, Россия
32060=Оха, Россия
27893=Октябрьск, Россия
31991=Новороссийка, Россия
27525=Мытищи, Россия
27860=Спасск, Россия
29947=Бийск, Россия
36092=Белокуриха, Россия
27901=Карачев, Россия
34047=Жердевка, Россия
36096=Кызыл, Россия
27906=Орел, Россия
29955=Шерегеш, Россия
23812=Якша , Россия
28545=Озерск, Россия
34056=Ртищево, Россия
34058=Аркадак, Россия
27522=Орехово-Зуево, Россия
34062=Сердобск, Россия
26157=Гдов, Россия
27921=Ефремов, Россия
27922=Данков, Россия
26499=Старица, Россия
34069=Аткарск, Россия
27928=Елец, Россия
34147=Поворино, Россия
27930=Липецк, Россия
27931=Усмань, Россия
27932=Чаплыгин, Россия
29914=Яровое, Россия
27934=Новомичуринск, Россия
27935=Мичуринск, Россия
27937=Грязи, Россия
34005=Фатеж, Россия
34083=Хвалынск, Россия
34085=Балаково, Россия
34086=Вольск, Россия
27943=Котовск, Россия
23848=Нефтеюганск, Россия
23849=Сургут, Россия
27527=Быково, Россия
27948=Рассказово, Россия
29997=Аршан, Россия
28552=Шадринск, Россия
34098=Пугачев, Россия
27955=Белинский, Россия
23919=Североуральск, Россия
27957=Кирсанов, Россия
34102=Курчатов, Россия
27529=Ногинск, Россия
34104=Дмитриев-Льговский, Россия
27961=Каменка, Россия
27459=Нижний Новгород, Россия
27963=Кузнецк, Россия
27964=Заречный, Россия
32061=Александров-Сахалинский, Россия
21824=Тикси, Россия
31968=Хасан, Россия
27971=Сурск, Россия
34116=Старый Оскол, Россия
34117=Губкин, Россия
34119=Семилуки, Россия
32165=Южно-Курильск, Россия
26595=Сычевка, Россия
34123=Воронеж, Россия
27980=Барыш, Россия
34211=Строитель, Россия
27533=Суздаль, Россия
27528=Щелково, Россия
28899=Нижнекамск, Россия
32087=Шахтерск, Россия
32088=Углегорск, Россия
34138=Бобров, Россия
22891=Сосново, Россия
34140=Новохоперск, Россия
34141=Эртиль, Россия
27392=Советск, Россия
23903=Кажим, Россия
34146=Борисоглебск, Россия
23846=Лянтор, Россия
30054=Витим, Россия
34152=Балашов, Россия
28009=Кирс, Россия
23914=Чердынь, Россия
23917=Красновишерск, Россия
23918=Волчанск, Россия
24125=Оленек, Россия
23921=Ивдель, Россия
23922=Югорск, Россия
34164=Калининск, Россия
23928=Урай, Россия
27540=Рошаль, Россия
34170=Красноармейск, Россия
28027=Соликамск, Россия
28028=Березники, Россия
34173=Маркс, Россия
23445=Надым, Россия
32128=Холмск, Россия
32133=Долинск, Россия
28040=Карпинск, Россия
28041=Краснотурьинск, Россия
34186=Ершов, Россия
26166=Луга, Россия
28044=Серов, Россия
23949=Мегион, Россия
23950=Лангепас, Россия
23951=Покачи, Россия
23952=Стрежевой, Россия
32145=Невельск, Россия
30102=Кежма, Россия
32155=Анива, Россия
29594=Тайшет, Россия
34206=Грайворон, Россия
26985=Унеча, Россия
36259=Кош-Агач, Россия
34212=Короча, Россия
34213=Новый Оскол, Россия
34214=Белгород, Россия
28075=Юровск, Россия
27531=Чехов, Россия
32174=Курильск, Россия
22429=Соловки, Россия
26781=Смоленск, Россия
26184=Малая Вишера, Россия
31987=Партизанск, Россия
34230=Острогожск, Россия
34231=Лиски, Россия
28465=Ялуторовск, Россия
21945=Оленегорск, Россия
21946=Чокурдах, Россия
34236=Россошь, Россия
34237=Павловск, Россия
34239=Бутурлиновка, Россия
34240=Урюпинск, Россия
34241=Новониколаевский, Россия
26054=Ивангород, Россия
34247=Калач, Россия
28104=Слободской, Россия
28105=Белая Холуница, Россия
26059=Кингисепп, Россия
26060=Кронштадт, Россия
34253=Елань, Россия
34254=Новоаннинский, Россия
26063=Санкт-Петербург, Россия
26064=Ломоносов, Россия
26067=Волосово, Россия
26068=Гатчина, Россия
26069=Белогорка, Россия
34262=Рудня, Россия
26071=Всеволожск, Россия
26072=Шлиссельбург, Россия
26073=Пушкин, Россия
26074=Петергоф, Россия
34267=Даниловка, Россия
34268=Котово, Россия
34269=Петров Вал, Россия
26078=Любань, Россия
29605=Татарск, Россия
26080=Кириши, Россия
26081=Колпино, Россия
28130=Александровск, Россия
28131=Кизел, Россия
28133=Чусовой, Россия
28134=Губаха, Россия
28135=Качканар, Россия
28136=Лесной, Россия
28137=Гремячинск, Россия
28140=Нижняя Тура, Россия
26094=Тихвин, Россия
36093=Туран, Россия
28144=Верхотурье, Россия
34289=Новоузенск, Россия
26099=Ефимовский, Россия
22005=Печенга, Россия
22006=Заполярный, Россия
28586=Тюкалинск, Россия
22015=Заозерск, Россия
34048=Уварово, Россия
27563=Лысково, Россия
22020=Гаджиево, Россия
24738=Сунтар, Россия
28588=Называевск, Россия
30218=Новая Игирма, Россия
22028=Териберка, Россия
28173=Нефедова, Россия
22897=Озерки, Россия
34087=Шиханы, Россия
34321=Валуйки, Россия
34322=Алексеевка, Россия
34323=Бирюч, Россия
30230=Киренск, Россия
23471=Нижневартовск, Россия
26580=Ярцево, Россия
34336=Богучар, Россия
22049=Островной, Россия
31088=Охотск, Россия
28201=Зуевка, Россия
28935=Сибай, Россия
30253=Бодайбо, Россия
26158=Приозерск, Россия
26159=Волхов, Россия
34352=Михайловка, Россия
24944=Олекминск, Россия
34356=Фролово, Россия
34357=Серафимович, Россия
28214=Глазов, Россия
28216=Верещагино, Россия
28217=Очер, Россия
34363=Камышин, Россия
34364=Быково, Россия
34365=Николаевск, Россия
28222=Добрянка, Россия
28223=Краснокамск, Россия
28224=Пермь, Россия
26179=Великий Новгород, Россия
34373=Палласовка, Россия
30712=Усолье-Сибирское, Россия
28232=Верхняя Тура, Россия
28233=Кушва, Россия
28234=Лысьва, Россия
28236=Горнозаводск, Россия
28748=Троицк, Россия
28240=Нижний Тагил, Россия
27576=Княгинино, Россия
28242=Верхняя Салда, Россия
28243=Нижняя Салда, Россия
28244=Верхний Тагил, Россия
23822=Советский, Россия
34391=Александров-Гай, Россия
28248=Алапаевск, Россия
27236=Любим, Россия
37016=Хадыженск, Россия
34063=Петровск, Россия
22110=Снежногорск, Россия
22111=Североморск, Россия
22112=Кола, Россия
22113=Мурманск, Россия
24507=Тура, Россия
30308=Вихоревка, Россия
24166=Верхоянск, Россия
28264=Тавда, Россия
22900=Токсово, Россия
30316=Железногорск-Илимский, Россия
22802=Сортавала, Россия
30320=Усть-Кут, Россия
34954=Светлоград, Россия
28275=Тобольск, Россия
29630=Обь, Россия
27947=Тамбов, Россия
27538=Черусти, Россия
23147=Ямбург , Россия
34438=Миллерово, Россия
29634=Новосибирск, Россия
26498=Ржев, Россия
37144=Прохладный, Россия
26258=Псков, Россия
28307=Уржум, Россия
28503=Мамадыш, Россия
26263=Сольцы, Россия
32408=Усть-Камчатск, Россия
27588=Цивильск, Россия
26268=Дно, Россия
34461=Иловля, Россия
34462=Дубовка, Россия
34463=Волжский, Россия
28321=Оханск, Россия
26275=Старая Русса, Россия
28324=Оса, Россия
28326=Кунгур, Россия
28327=Иван-Гора, Россия
27403=Лихославль, Россия
27591=Зеленодольск, Россия
34476=Эльтон, Россия
26285=Крестцы, Россия
28334=Шамары, Россия
26289=Валдай, Россия
26291=Боровичи, Россия
28342=Новоуральск, Россия
28343=Кировград, Россия
